ark_id,collection,acquisition_type_en,area_cm2,area_quartile,collection_age_band,is_on_display,creation_year
cl010053247,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053248,Département des Peintures,Bequest,,,100+,0,1732.0
cl010053251,Département des Peintures,Other,,,100+,0,1819.0
cl010053253,Département des Peintures,Other,,,100+,0,1850.0
cl010053254,Département des Peintures,Other,,,100+,0,1824.0
cl010053255,Département des Peintures,Gift,,,100+,0,1818.5
cl010053256,Département des Peintures,Bequest,,,100+,0,1850.0
cl010053262,Département des Peintures,Purchase,,,61-80,0,1824.0
cl010053263,Département des Peintures,Bequest,,,,0,1856.0
cl010053266,Département des Peintures,Purchase,,,,0,1750.0
cl010053267,Département des Peintures,Bequest,,,,0,1750.0
cl010053269,Département des Peintures,Bequest,,,100+,0,1861.0
cl010053270,Département des Peintures,Bequest,,,100+,0,1812.5
cl010053275,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053276,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053280,Département des Peintures,Purchase,,,,0,1850.0
cl010053281,Département des Peintures,Purchase,,,,0,1850.0
cl010053282,Département des Peintures,Other,,,,0,1824.0
cl010053283,Département des Peintures,Purchase,,,,0,1850.0
cl010053284,Département des Peintures,Other,,,,0,1850.0
cl010053285,Département des Peintures,Other,,,100+,0,1850.0
cl010053286,Département des Peintures,Other,,,100+,0,1826.0
cl010053287,Département des Peintures,Purchase,,,100+,0,1850.0
cl010053288,Département des Peintures,Other,,,100+,0,1823.0
cl010053291,Département des Peintures,Other,,,100+,0,1839.0
cl010053296,Département des Peintures,Other,,,,0,1762.0
cl010053298,Département des Peintures,Historic Collection,,,,0,1702.5
cl010053299,Département des Peintures,Historic Collection,,,,0,1702.5
cl010053300,Département des Peintures,Gift,,,100+,0,1886.0
cl010053301,Département des Peintures,Other,,,100+,0,1847.0
cl010053302,Département des Peintures,Historic Collection,,,,0,1767.0
cl010053304,Département des Peintures,Other,,,100+,0,1818.0
cl010053305,Département des Peintures,Other,,,100+,0,1818.0
cl010053306,Département des Peintures,Other,,,100+,0,1806.0
cl010053309,Département des Peintures,Gift,,,,0,1781.0
cl010053312,Département des Peintures,Other,,,,0,1763.0
cl010053313,Département des Peintures,Other,,,,0,1763.0
cl010053314,Département des Peintures,Purchase,,,61-80,0,1755.0
cl010053318,Département des Peintures,Purchase,,,,0,1846.0
cl010053319,Département des Peintures,Other,,,100+,0,1827.0
cl010053320,Département des Peintures,Other,,,100+,0,1843.0
cl010053321,Département des Peintures,Historic Collection,,,,0,1660.0
